city_name,country_code,latitude,longitude
bucimas,al,40.89139,20.68139
zhepe,al,40.67778,20.28694
zerqan,al,41.50222,20.36056
zavaline,al,40.98083,20.28083
zapod,al,42.05056,20.55250
zall_rec,al,41.87611,20.32000
zall_dardhe,al,41.80667,20.33611
xiber_murrize,al,41.45472,20.02556
vreshtas,al,40.79694,20.77694
voskopoje,al,40.63306,20.58889
voskop,al,40.61194,20.69028
vithkuq,al,40.52500,20.58250
vithkuq,al,40.20472,20.25944
vertop,al,40.62889,20.05389
vergo,al,40.00667,20.00889
vendresha_e_vogel,al,40.50722,20.13472
velcan,al,40.95472,20.46222
ujmisht,al,41.90833,20.34694
udenisht,al,40.96333,20.63917
tunje,al,40.83417,20.11194
tregan,al,41.02472,20.07833
trebisht_mucine,al,41.41111,20.53556
trebinje,al,40.91333,20.55306
topojan,al,40.37722,20.21333
tomin,al,41.69083,20.42167
tepelene,al,40.29583,20.01917
surroj,al,41.99222,20.34417
sult,al,40.88472,20.09944
suke,al,40.37528,20.15472
suc,al,41.57694,20.05139
stravaj,al,41.00528,20.42306
stebleve,al,41.33722,20.47000
sllove,al,41.80111,20.40833
skore,al,40.10722,20.36639
skenderbegas,al,40.77611,20.24056
shushice,al,41.09750,20.14833
shupenze,al,41.53000,20.42361
shtiqen,al,42.04056,20.43417
shishtavec,al,41.98000,20.60583
shirgjan,al,41.05194,20.05333
shengjin,al,41.92611,20.18833
shenmeri,al,42.10417,20.23833
selishte,al,41.62750,20.27917
saraqinishte,al,40.10528,20.22944
rukaj,al,41.68361,20.01917
rajce,al,41.09028,20.57639
roshnik,al,40.73278,20.03944
qukes_skenderbe,al,41.08389,20.43806
qestorat,al,40.11750,20.19972
qafemal,al,42.09333,20.09056
perrenjas_fshat,al,41.06667,20.53528
perrenjas,al,41.07306,20.54889
proptisht,al,40.98611,20.50250
proger,al,40.69417,20.94028
potom,al,40.48833,20.37333
porocan,al,40.94194,20.29861
polis_gostime,al,41.13333,20.25833
polican,al,40.61222,20.09806
pojan,al,40.72583,20.83750
pogradec,al,40.90250,20.65250
pishaj,al,40.88111,20.18278
pirg,al,40.78500,20.70611
gjinkar,al,40.19944,20.40611
petran,al,40.20944,20.41833
peshkopi,al,41.68500,20.42889
permet,al,40.23361,20.35167
ostreni_i_math,al,41.43083,20.45556
orosh,al,41.83333,20.08333
orenje,al,41.28472,20.21194
odrie,al,40.13333,20.16667
novosele,al,40.76139,20.69833
picar,al,40.16667,20.04833
mollas,al,40.92694,20.00361
mollas,al,40.42556,20.67444
mollaj,al,40.56028,20.74028
miras,al,40.50917,20.92833
melan,al,41.65417,20.46528
martanesh,al,41.40000,20.20000
maqellare,al,41.58889,20.48306
maliq,al,40.70583,20.69972
macukull,al,41.68861,20.11028
lunik,al,41.28917,20.32361
llugaj,al,42.34139,20.10861
lis,al,41.62750,20.08528
liqenas,al,40.78667,20.90222
librazhd,al,41.17944,20.31500
libonik,al,40.70444,20.70861
libohove,al,40.03111,20.26306
